Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Achalaite,Fe2+TiNb2O8,FeTiNb2O8,Ahl,
Christofschaferite-(Ce),"(Ce,La,Ca)4Mn(Ti,Fe)3(Fe,Ti)(Si2O7)2O8","(Ce,La,Ca)4Mn(Ti,Fe)3(Fe,Ti)(Si2O7)2O8",Csf-Ce,
Chromferide,Fe1.5Cr0.2,Fe1.5Cr0.2,Cfe,
Chromite,Fe2+Cr2O4,FeCr2O4,Chr,Fe2+Cr3+2O4
Chukanovite,Fe2(CO3)(OH)2,Fe2(CO3)(OH)2,Ckn,
Chvilevaite,"Na(Cu,Fe,Zn)2S2","Na(Cu,Fe,Zn)2S2",Cvi,
Clairite,(NH4)2Fe3+3(SO4)4(OH)3·3H2O,(NH4)2Fe3(SO4)4(OH)3·3H2O,Clai,
Cleusonite,"Pb(U4+,U6+)Fe2+2(Ti,Fe2+,Fe3+)18(O,OH)38","Pb(U,U)Fe2(Ti,Fe,Fe)18(O,OH)38",Ceu,
Clino-ferri-holmquistite,[box]Li2(Mg3Fe3+2)Si8O22(OH)2," Li2(Mg3Fe2)Si8O22(OH)2",Cfhlm,
Clino-ferro-ferri-holmquistite,[box]Li2(Fe2+3Fe3+2)Si8O22(OH)2," Li2(Fe3Fe2)Si8O22(OH)2",Cffhlm,
Clinoferrosilite,Fe2+2Si2O6,Fe2Si2O6,Cfs,
Clinoungemachite,K3Na8Fe3+(SO4)6(OH)2·10H2O,K3Na8Fe(SO4)6(OH)2·10H2O,Cug,
Coalingite,Mg10Fe3+2(CO3)(OH)24·2H2O,Mg10Fe2(CO3)(OH)24·2H2O,Clg,
Cobaltarthurite,CoFe3+2(AsO4)2(OH)2·4H2O,CoFe2(AsO4)2(OH)2·4H2O,Caru,
Cobaltneustadtelite,"Bi2Fe3+(Co,Fe3+)(AsO4)2(O,OH)4","Bi2Fe(Co,Fe)(AsO4)2(O,OH)4",Cneu,
Coconinoite,Fe3+2Al2(UO2)2(PO4)4(SO4)(OH)2·20H2O,Fe2Al2(UO2)2(PO4)4(SO4)(OH)2·20H2O,Coc,
Cohenite,CFe3,CFe3,Coh,
Coiraite,"(Pb,Sn)12.5As3Sn5FeS28","(Pb,Sn)12.5As3Sn5FeS28",Coi,
Columbite-(Fe),Fe2+Nb2O6,FeNb2O6,Clb-Fe,
Congolite,Fe2+3B7O13Cl,Fe3B7O13Cl,Cgl,
Copiapite,Fe2+Fe3+4(SO4)6(OH)2·20H2O,FeFe4(SO4)6(OH)2·20H2O,Cpi,Fe5(SO4)6(OH)2·20H2O
Coquimbite,AlFe3(SO4)6(H2O)12·6H2O,AlFe3(SO4)6(H2O)12·6H2O,Coq,
Corkite,PbFe3+3(SO4)(PO4)(OH)6,PbFe3(SO4)(PO4)(OH)6,Cok,
Correianevesite,Fe2+Mn2+2(PO4)2·3H2O,FeMn2(PO4)2·3H2O,Corr,
Corrensite,"(Ca,Na,K)1-x(Mg,Fe,Al)9(Si,Al)8O20(OH)10·nH2O","(Ca,Na,K)1-x(Mg,Fe,Al)9(Si,Al)8O20(OH)10·nH2O",Crr,
Corvusite,"(Na,Ca,K)1-x(V5+,V4+,Fe2+)8O20·4H2O","(Na,Ca,K)1-x(V,V,Fe)8O20·4H2O",Cvu,
Coulsonite,Fe2+V3+2O4,FeV2O4,Cou,
Coyoteite,NaFe3S5·2H2O,NaFe3S5·2H2O,Coy,
Creaseyite,Cu2Pb2Fe3+2Si5O17·6H2O,Cu2Pb2Fe2Si5O17·6H2O,Cse,
Crichtonite,"Sr(Mn,Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH)38","Sr(Mn,Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH)38",Cic,
Crimsonite,PbFe3+2(PO4)2(OH)2,PbFe2(PO4)2(OH)2,Cms,
Crocobelonite,CaFe3+2O(PO4)2,CaFe2O(PO4)2,Ccb,
Cronstedtite,"(Fe2+,Fe3+)3(Si,Fe3+)2O5(OH)4","(Fe,Fe)3(Si,Fe)2O5(OH)4",Cro,
Crowningshieldite,(Ni0.9Fe0.1)S,(Ni0.9Fe0.1)S,Csh,
Cubanite,CuFe2S3,CuFe2S3,Cbn,
Cuprocopiapite,Cu2+Fe3+4(SO4)6(OH)2·20H2O,CuFe4(SO4)6(OH)2·20H2O,Cucpi,
Cuprorhodsite,(Cu1+0.5Fe3+0.5)Rh3+2S4,(Cu0.5Fe0.5)Rh2S4,Crh,
Cuprospinel,Cu2+Fe3+2O4,CuFe2O4,Cspl,"(Cu,Mg)Fe3+2O4"
Cuzticite,Fe3+2Te6+O6·3H2O,Fe2TeO6·3H2O,Cuz,
Cylindrite,FePb3Sn4Sb2S14,FePb3Sn4Sb2S14,Cy,
Cyrilovite,NaFe3+3(PO4)2(OH)4·2H2O,NaFe3(PO4)2(OH)4·2H2O,Cyr,
Danalite,Be3Fe2+4(SiO4)3S,Be3Fe4(SiO4)3S,Dan,
Dansite-(Fe),Na21Fe(SO4)10Cl3,Na21Fe(SO4)10Cl3,D'an-Fe,
Daubreelite,FeCr2S4,FeCr2S4,Dbr,
Davidite-(Ce),"Ce(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38","Ce(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38",Dvd-Ce,
Davidite-(La),"La(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38","La(Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH,F)38",Dvd-La,
Davinciite,Na12K3Ca6Fe2+3Zr3(Si26O73OH)Cl2,Na12K3Ca6Fe3Zr3(Si26O73OH)Cl2,Dvc,
Decagonite,Al71Ni24Fe5,Al71Ni24Fe5,Dec,
Deerite,Fe2+6Fe3+3(Si6O17)O3(OH)5,Fe6Fe3(Si6O17)O3(OH)5,Dee,
Delafossite,Cu1+Fe3+O2,CuFeO2,Del,
Delhuyarite-(Ce),Ce4Mg(Fe3+2W)[box](Si2O7)2O6(OH)2,Ce4Mg(Fe2W) (Si2O7)2O6(OH)2,Dhu-Ce,
Deliensite,Fe2+(UO2)2(SO4)2(OH)2·7H2O,Fe(UO2)2(SO4)2(OH)2·7H2O,Dli,
Delvauxite,CaFe3+4(PO4)2(OH)8·4-5H2O,CaFe4(PO4)2(OH)8·4-5H2O,Dvx,
Derbylite,Fe3+4Ti4+3Sb3+O13(OH),Fe4Ti3SbO13(OH),Dby,
Dessauite-(Y),"Sr(Y,U,Mn)Fe2(Ti,Fe,Cr,V)18(O,OH)38","Sr(Y,U,Mn)Fe2(Ti,Fe,Cr,V)18(O,OH)38",Dss-Y,
Destinezite,Fe3+2(PO4)(SO4)(OH)·6H2O,Fe2(PO4)(SO4)(OH)·6H2O,Dtz,
Devilliersite,Ca4Ca2Fe3+10O4[(Fe3+10Si2)O36],Ca4Ca2Fe10O4[(Fe10Si2)O36],Dvi,
Devitoite,Ba6Fe2+7Fe3+2(Si4O12)2(PO4)2(CO3)O2(OH)4,Ba6Fe7Fe2(Si4O12)2(PO4)2(CO3)O2(OH)4,Dvt,
Deynekoite,Ca9Fe3+(PO4)7,Ca9Fe(PO4)7,Dnk,
Diadochite,Fe3+2(PO4)(SO4)(OH)·6H2O,Fe2(PO4)(SO4)(OH)·6H2O,Ddc,
Dingdaohengite-(Ce),"(Ce,La)4Fe2+(Ti,Fe2+,Mg,Fe3+)2Ti2Si4O22","(Ce,La)4Fe(Ti,Fe,Mg,Fe)2Ti2Si4O22",Ddh-Ce,
Diversilite-(Ce),Na2Ba6Ce2Fe2+Ti3Si12O36(OH)10·nH2O,Na2Ba6Ce2FeTi3Si12O36(OH)10·nH2O,Dvs-Ce,
Dixenite,Cu1+Fe3+Mn2+14(As5+O4)(As3+O3)5(SiO4)2(OH)6,CuFeMn14(AsO4)(AsO3)5(SiO4)2(OH)6,Dxn,
Djerfisherite,"K6(Fe,Cu,Ni)25S26Cl","K6(Fe,Cu,Ni)25S26Cl",Djr,
Dondoellite,Ca2Fe(PO4)2·2H2O,Ca2Fe(PO4)2·2H2O,Ddl,
Donowensite,Ca(H2O)3Fe3+2(V2O7)2,Ca(H2O)3Fe2(V2O7)2,Dnw,
Dorallcharite,TlFe3+3(SO4)2(OH)6,TlFe3(SO4)2(OH)6,Drc,
Dorrite,Ca4[Mg3Fe3+9]O4[Si3Al8Fe3+O36],Ca4[Mg3Fe9]O4[Si3Al8FeO36],Dor,
Douglasite,K2Fe2+Cl4·2H2O,K2FeCl4·2H2O,Dgl,
Droninoite,Ni6Fe3+2Cl2(OH)16·4H2O,Ni6Fe2Cl2(OH)16·4H2O,Dr,
Drugmanite,Pb2Fe3+(PO4)(PO3OH)(OH)2,Pb2Fe(PO4)(PO3OH)(OH)2,Dru,
Dualite,"Na30(Ca,Na,Ce,Sr)12(Na,Mn,Fe,Ti)6Zr3Ti3MnSi51O144(OH,H2O,Cl)9","Na30(Ca,Na,Ce,Sr)12(Na,Mn,Fe,Ti)6Zr3Ti3MnSi51O144(OH,H2O,Cl)9",Dua,
Dufrenite,Ca0.5Fe2+Fe3+5(PO4)4(OH)6·2H2O,Ca0.5FeFe5(PO4)4(OH)6·2H2O,Dfr,Ca0.5Fe6(PO4)4(OH)6·2H2O
Dussertite,BaFe3+3(AsO4)(AsO3OH)(OH)6,BaFe3(AsO4)(AsO3OH)(OH)6,Dst,
Dutrowite,Na(Fe2+2.5Ti0.5)Al6(Si6O18)(BO3)3(OH)3O,Na(Fe2.5Ti0.5)Al6(Si6O18)(BO3)3(OH)3O,Dtw,
Dzharkenite,FeSe2,FeSe2,Dzh,
Dzhuluite,Ca3(SbSn)(Fe3+O4)3,Ca3(SbSn)(FeO4)3,Dzl,
Earlshannonite,Mn2+Fe3+2(PO4)2(OH)2·4H2O,MnFe2(PO4)2(OH)2·4H2O,Esn,
Eclarite,"(Cu,Fe)Pb9Bi12S28","(Cu,Fe)Pb9Bi12S28",Ecl,
Edgarite,FeNb3S6,FeNb3S6,Edg,
Edscottite,Fe5C2,Fe5C2,Est,
Edtollite,K2NaCu5Fe3+O2(AsO4)4,K2NaCu5FeO2(AsO4)4,Edt,
Ekatite,"(Fe3+,Fe2+,Zn)12(AsO3)6(AsO3,SiO3OH)2(OH)6","(Fe,Fe,Zn)12(AsO3)6(AsO3,SiO3OH)2(OH)6",Ekt,
Ekebergite,ThFeNb2O8,ThFeNb2O8,Ekb,
Elaliite,(Fe2+8Fe3+)(PO4)O8,(Fe8Fe)(PO4)O8,Eal,
Elbrusite,Ca3(U6+0.5Zr1.5)(Fe3+O4)3,Ca3(U0.5Zr1.5)(FeO4)3,Ebs,
Eldfellite,NaFe3+(SO4)2,NaFe(SO4)2,Edf,
Elkinstantonite,Fe4(PO4)2O,Fe4(PO4)2O,Elk,
Eltyubyuite,Ca12Fe3+10Si4O32Cl6,Ca12Fe10Si4O32Cl6,Elt,
Emeleusite,Na2LiFe3+Si6O15,Na2LiFeSi6O15,Eme,
Emmerichite,Ba2Ti2Na3Fe3+(Si2O7)2O2F2,Ba2Ti2Na3Fe(Si2O7)2O2F2,Emr,
Emmonsite,Fe3+2(Te4+O3)3·2H2O,Fe2(TeO3)3·2H2O,Ems,
Epidote,Ca2(Al2Fe3+)[Si2O7][SiO4]O(OH),Ca2(Al2Fe)[Si2O7][SiO4]O(OH),Ep,
Epidote-(Sr),CaSr(Al2Fe3+)[Si2O7][SiO4]O(OH),CaSr(Al2Fe)[Si2O7][SiO4]O(OH),Ep-Sr,
Erdite,NaFeS2·2H2O,NaFeS2·2H2O,Erd,
Ericaite,Fe2+3B7O13Cl,Fe3B7O13Cl,Eic,
Ericssonite,BaMn2+2Fe3+(Si2O7)O(OH),BaMn2Fe(Si2O7)O(OH),Ers,
Erlianite,Fe2+4Fe3+2Si6O15(OH)8,Fe4Fe2Si6O15(OH)8,Ern,
Ernstite,"(Mn2+,Fe3+)Al(PO4)(OH,O)2","(Mn,Fe)Al(PO4)(OH,O)2",Ens,
Ershovite,"K3Na4(Fe,Mn,Ti)2Si8O20(OH,O)4·4H2O","K3Na4(Fe,Mn,Ti)2Si8O20(OH,O)4·4H2O",Esh,
Erssonite,CaMg7Fe3+2(OH)18(SO4)2·12H2O,CaMg7Fe2(OH)18(SO4)2·12H2O,,
Erythrosiderite,K2Fe3+Cl5·H2O,K2FeCl5·H2O,Esd,
Eskebornite,CuFeSe2,CuFeSe2,Ebn,
Esseneite,CaFe3+AlSiO6,CaFeAlSiO6,Ess,
Eudialyte,"Na15Ca6Fe3Zr3Si(Si25O73)(O,OH,H2O)3(Cl,OH)2","Na15Ca6Fe3Zr3Si(Si25O73)(O,OH,H2O)3(Cl,OH)2",Eud,
Eveslogite,"(Ca,K,Na,Sr,Ba)48(Ti,Nb,Fe,Mn)12(OH)12Si48O144(OH,F,Cl)14","(Ca,K,Na,Sr,Ba)48(Ti,Nb,Fe,Mn)12(OH)12Si48O144(OH,F,Cl)14",Evl,
Eyselite,Fe3+Ge4+3O7(OH),FeGe3O7(OH),Eys,
Eztlite,Pb2Fe3+3(Te4+O3)3(SO4)O2Cl,Pb2Fe3(TeO3)3(SO4)O2Cl,Ez,
Faheyite,Be2Mn2+Fe3+2(PO4)4·6H2O,Be2MnFe2(PO4)4·6H2O,Fah,
Fahleite,CaZn5Fe3+2(AsO4)6·14H2O,CaZn5Fe2(AsO4)6·14H2O,Fhl,
Falsterite,Ca2MgMn2+2Fe2+2Fe3+2Zn4(PO4)8(OH)4(H2O)14,Ca2MgMn2Fe2Fe2Zn4(PO4)8(OH)4(H2O)14,Fls,
Fayalite,Fe2+2(SiO4),Fe2(SiO4),Fa,2FeO·SiO2,Fe2SiO4
Feiite,Fe2+2(Fe2+Ti4+)O5,Fe2(FeTi)O5,Fei,Fe3TiO5
Feklichevite,"Na11Ca9(Fe3+,Fe2+)2Zr3Nb(Si25O73)(OH,H2O,Cl,O)5","Na11Ca9(Fe,Fe)2Zr3Nb(Si25O73)(OH,H2O,Cl,O)5",Fek,
Fenaksite,KNaFe2+Si4O10,KNaFeSi4O10,Fnk,
Fencooperite,Ba6Fe3+3Si8O23(CO3)2Cl3·H2O,Ba6Fe3Si8O23(CO3)2Cl3·H2O,Fco,
Fengchengite,Na12[box]3Ca6Fe3+3Zr3Si(Si25O73)(H2O)3(OH)2,Na12 3Ca6Fe3Zr3Si(Si25O73)(H2O)3(OH)2,Fcg,
Ferberite,Fe2+(WO4),Fe(WO4),Feb,
Ferchromide,Cr1.5Fe0.2,Cr1.5Fe0.2,Fcr,
Ferhodsite,"(Fe,Rh,Ni,Ir,Cu,Co,Pt)9-xS8","(Fe,Rh,Ni,Ir,Cu,Co,Pt)9-xS8",Frh,
Fernandinite,"(Ca,Na,K)0.9(V5+,V4+,Fe2+,Ti)8O20·4H2O","(Ca,Na,K)0.9(V,V,Fe,Ti)8O20·4H2O",Frn,
Feroxyhyte,Fe3+O(OH),FeO(OH),Fox,δ-FeO(OH),δ-FeOOH
Ferraioloite,MgMn2+4(Fe2+0.5Al0.5)4Zn4(PO4)8(OH)4(H2O)20,MgMn4(Fe0.5Al0.5)4Zn4(PO4)8(OH)4(H2O)20,Frl,
Ferriakasakaite-(Ce),CaCeFe3+AlMn2+(Si2O7)(SiO4)O(OH),CaCeFeAlMn(Si2O7)(SiO4)O(OH),Fak-Ce,
Ferriakasakaite-(La),CaLaFe3+AlMn2+(Si2O7)(SiO4)O(OH),CaLaFeAlMn(Si2O7)(SiO4)O(OH),Fak-La,
Ferriallanite-(Ce),CaCe(Fe3+AlFe2+)[Si2O7][SiO4]O(OH),CaCe(FeAlFe)[Si2O7][SiO4]O(OH),Faln-Ce,
Ferriallanite-(La),CaLa(Fe3+AlFe2+)[Si2O7][SiO4]O(OH),CaLa(FeAlFe)[Si2O7][SiO4]O(OH),Faln-La,
Ferriandrosite-(La),MnLaFe3+AlMn2+(Si2O7)(SiO4)O(OH),MnLaFeAlMn(Si2O7)(SiO4)O(OH),Fea-La,
Ferribushmakinite,Pb2Fe3+(PO4)(VO4)(OH),Pb2Fe(PO4)(VO4)(OH),Fbmk,
Ferricerite-(La),"(La,Ce,Ca)9Fe3+(SiO4)3(SiO3OH)4(OH)3","(La,Ce,Ca)9Fe(SiO4)3(SiO3OH)4(OH)3",Fecrt-La,
Ferricopiapite,Fe3+0.67Fe3+4(SO4)6(OH)2·20H2O,Fe0.67Fe4(SO4)6(OH)2·20H2O,Fcpi,
Ferricoronadite,Pb(Mn4+6Fe3+2)O16,Pb(Mn6Fe2)O16,Fcor,
Ferri-fluoro-katophorite,Na(NaCa)(Mg4Fe3+)(Si7Al)O22F2,Na(NaCa)(Mg4Fe)(Si7Al)O22F2,Fflktp,
Ferri-fluoro-leakeite,NaNa2(Mg2Fe3+2Li)Si8O22F2,NaNa2(Mg2Fe2Li)Si8O22F2,Ffllk,
Ferri-ghoseite,[box](NaMn2+)(Mg4Fe3+)Si8O22(OH)2," (NaMn)(Mg4Fe)Si8O22(OH)2",Fgh,
Ferri-hellandite-(Ce),(Ca3Ce)Ce2Fe3+2B4Si4O22(OH)2,(Ca3Ce)Ce2Fe2B4Si4O22(OH)2,Fhld-Ce,
Ferrihollandite,Ba(Mn4+6Fe3+2)O16,Ba(Mn6Fe2)O16,Fhol,
Ferrihydrite,Fe3+10O14(OH)2,Fe10O14(OH)2,Fhy,Fe5HO8·4H2O,Fe5O3(OH)9,5Fe2O3·9H2O,hydrous ferric oxide
Ferri-kaersutite,NaCa2(Mg3Fe3+Ti)(Si6Al2)O22O2,NaCa2(Mg3FeTi)(Si6Al2)O22O2,Fkrs,
Ferri-katophorite,Na(NaCa)(Mg4Fe3+)(Si7Al)O22(OH)2,Na(NaCa)(Mg4Fe)(Si7Al)O22(OH)2,Fktp,
Ferri-leakeite,NaNa2(Mg2Fe3+2Li)Si8O22(OH)2,NaNa2(Mg2Fe2Li)Si8O22(OH)2,Flk,
Ferrilotharmeyerite,CaZnFe3+(AsO4)2(OH)·H2O,CaZnFe(AsO4)2(OH)·H2O,Flmy,
Ferrimolybdite,Fe3+2(Mo6+O4)3·7H2O,Fe2(MoO4)3·7H2O,Fmyb,
Ferri-mottanaite-(Ce),Ca4Ce2Fe3+(Be1.5[box]0.5)[Si4B4O22]O2,Ca4Ce2Fe(Be1.5 0.5)[Si4B4O22]O2,Fmot-Ce,
Ferrinatrite,Na3Fe3+(SO4)3·3H2O,Na3Fe(SO4)3·3H2O,Fnat,
Ferri-obertiite,NaNa2(Mg3Fe3+Ti)Si8O22O2,NaNa2(Mg3FeTi)Si8O22O2,Fob,
Ferri-pedrizite,NaLi2(Mg2Fe3+2Li)Si8O22(OH)2,NaLi2(Mg2Fe2Li)Si8O22(OH)2,Fpd,
Ferriperboeite-(Ce),(CaCe3)(Fe3+Al2Fe2+)(Si2O7)(SiO4)3O(OH)2,(CaCe3)(FeAl2Fe)(Si2O7)(SiO4)3O(OH)2,Fpbø-Ce,
Ferriperboeite-(La),(CaLa3)(Fe3+Al2Fe2+)[Si2O7][SiO4]3O(OH)2,(CaLa3)(FeAl2Fe)[Si2O7][SiO4]3O(OH)2,Fpbø-La,
Ferriprehnite,Ca2Fe3+(AlSi3)O10(OH)2,Ca2Fe(AlSi3)O10(OH)2,Fprh,
Ferripyrophyllite,Fe3+Si2O5(OH),FeSi2O5(OH),Fprl,
Ferrirockbridgeite,(Fe3+0.67[box]0.33)2(Fe3+)3(PO4)3(OH)4(H2O),(Fe0.67 0.33)2(Fe)3(PO4)3(OH)4(H2O),Frck,
Ferrisanidine,K(Fe3+Si3O8),K(FeSi3O8),Fsa,
Ferrisepiolite,"(Fe3+,Fe2+,Mg)4[(Si,Fe3+)6O15](O,OH)2·6H2O","(Fe,Fe,Mg)4[(Si,Fe)6O15](O,OH)2·6H2O",Fsep,
Ferristrunzite,Fe3+Fe3+2(PO4)2(OH)3·5H2O,FeFe2(PO4)2(OH)3·5H2O,Fstz,Fe3(PO4)2(OH)3·5H2O
Ferrisurite,Pb2.4Fe3+2Si4O10(CO3)1.7(OH)3·nH2O,Pb2.4Fe2Si4O10(CO3)1.7(OH)3·nH2O,Fsur,
Ferrisymplesite,Fe3+3(AsO4)2(OH)3·5H2O,Fe3(AsO4)2(OH)3·5H2O,Fsym,
Ferri-taramite,Na(NaCa)(Mg3Fe3+2)(Si6Al2)O22(OH)2,Na(NaCa)(Mg3Fe2)(Si6Al2)O22(OH)2,Fi-trm,
Ferrivauxite,Fe3+Al2(PO4)2(OH)3·5H2O,FeAl2(PO4)2(OH)3·5H2O,Fvx,
Ferri-winchite,[box](NaCa)(Mg4Fe3+)Si8O22(OH)2," (NaCa)(Mg4Fe)Si8O22(OH)2",Fwnc,
Ferro-actinolite,[box]Ca2(Mg2.5-0.0Fe2+2.5-5.0)Si8O22(OH)2," Ca2(Mg2.5-0.0Fe2.5-5.0)Si8O22(OH)2",Fact,
Ferroalluaudite,NaFe2+Fe3+2(PO4)3,NaFeFe2(PO4)3,Fald,NaFe3(PO4)3
Ferroaluminoceladonite,KFe2+AlSi4O10(OH)2,KFeAlSi4O10(OH)2,Facel,
Ferro-anthophyllite,[box]Fe2+2Fe2+5Si8O22(OH)2," Fe2Fe5Si8O22(OH)2",Fath,
Ferroberaunite,Fe2+Fe3+5(PO4)4(OH)5·6H2O,FeFe5(PO4)4(OH)5·6H2O,Fbru,Fe6(PO4)4(OH)5·6H2O
Ferrobobfergusonite,[box]Na2Fe2+5Fe3+Al(PO4)6," Na2Fe5FeAl(PO4)6",Fbfg,
Ferro-bosiite,NaFe3+3(Al4Fe2+2)(Si6O18)(BO3)3(OH)3O,NaFe3(Al4Fe2)(Si6O18)(BO3)3(OH)3O,Fbos,
Ferrobustamite,CaFe2+Si2O6,CaFeSi2O6,Fbst,
Ferrocarpholite,Fe2+Al2Si2O6(OH)4,FeAl2Si2O6(OH)4,Fcar,
Ferroceladonite,KFe2+Fe3+Si4O10(OH)2,KFeFeSi4O10(OH)2,Fcel,KFe2Si4O10(OH)2
Ferrochiavennite,"Ca1-2Fe[(Si,Al,Be)5Be2O13(OH)2]·2H2O","Ca1-2Fe[(Si,Al,Be)5Be2O13(OH)2]·2H2O",Fcve,
Ferro-edenite,NaCa2Fe2+5(Si7Al)O22(OH)2,NaCa2Fe5(Si7Al)O22(OH)2,Fed,
Ferroefremovite,(NH4)2Fe2+2(SO4)3,(NH4)2Fe2(SO4)3,Fefr,
Ferroericssonite,BaFe2+2Fe3+(Si2O7)O(OH),BaFe2Fe(Si2O7)O(OH),Fers,
Ferro-ferri-fluoro-leakeite,NaNa2(Fe2+2Fe3+2Li)Si8O22F2,NaNa2(Fe2Fe2Li)Si8O22F2,Fffllk,
Ferro-ferri-holmquistite,[box]Li2(Fe2+3Fe3+2)(Si8O22)(OH)2," Li2(Fe3Fe2)(Si8O22)(OH)2",Ffhlm,
Ferro-ferri-hornblende,[box]Ca2(Fe2+4Fe3+)(Si7Al)O22(OH)2," Ca2(Fe4Fe)(Si7Al)O22(OH)2",Ffhbl,
Ferro-ferri-katophorite,Na(NaCa)(Fe2+4Fe3+)(Si7Al)O22(OH)2,Na(NaCa)(Fe4Fe)(Si7Al)O22(OH)2,Ffktp,
Ferro-ferri-nyboite,NaNa2(Fe2+3Fe3+2)(Si7Al)O22(OH)2,NaNa2(Fe3Fe2)(Si7Al)O22(OH)2,Ffnyb,
Ferro-ferri-obertiite,NaNa2(Fe2+3Fe3+Ti)Si8O22O2,NaNa2(Fe3FeTi)Si8O22O2,Ffob,
Ferro-ferri-pedrizite,NaLi2(Fe2+2Fe3+2Li)Si8O22(OH)2,NaLi2(Fe2Fe2Li)Si8O22(OH)2,Ffpd,
Ferrofettelite,[Ag6As2S7][Ag10FeAs2S8],[Ag6As2S7][Ag10FeAs2S8],Fftt,
Ferro-fluoro-edenite,NaCa2Fe2+5(Si7AlO22)F2,NaCa2Fe5(Si7AlO22)F2,Ffed,
Ferro-fluoro-pedrizite,NaLi2(Fe2+2Al2Li)Si8O22F2,NaLi2(Fe2Al2Li)Si8O22F2,Fflpd,
Ferro-gedrite,[box]Fe2+2(Fe2+3Al2)(Si6Al2)O22(OH)2," Fe2(Fe3Al2)(Si6Al2)O22(OH)2",Fged,
Ferro-glaucophane,[box]Na2(Fe2+3Al2)Si8O22(OH)2," Na2(Fe3Al2)Si8O22(OH)2",Fgln,
Ferrohexahydrite,Fe2+(SO4)·6H2O,Fe(SO4)·6H2O,Fhhy,FeSO4·6H2O
Ferrohogbomite-2N2S,"(Fe,Mg,Zn,Al)3(Al,Ti,Fe)8O15(OH)","(Fe,Mg,Zn,Al)3(Al,Ti,Fe)8O15(OH)",Fhög-2N2S,
Ferro-holmquistite,[box]Li2(Fe2+3Al2)Si8O22(OH)2," Li2(Fe3Al2)Si8O22(OH)2",Fhlm,
Ferro-hornblende,[box]Ca2(Fe2+4Al)(Si7Al)O22(OH)2," Ca2(Fe4Al)(Si7Al)O22(OH)2",Fhbl,
Ferroindialite,"(Fe2+,Mg)2Al4Si5O18","(Fe,Mg)2Al4Si5O18",Find,
Ferro-katophorite,Na(NaCa)(Fe2+4Al)(Si7Al)O22(OH)2,Na(NaCa)(Fe4Al)(Si7Al)O22(OH)2,Foktp,
Ferrokentbrooksite,"Na15Ca6Fe2+3Zr3Nb(Si25O73)(O,OH,H2O)3(F,Cl)2","Na15Ca6Fe3Zr3Nb(Si25O73)(O,OH,H2O)3(F,Cl)2",Fktb,
Ferrokesterite,Cu2FeSnS4,Cu2FeSnS4,Fkës,
Ferrokinoshitalite,BaFe2+3(Si2Al2)O10(OH)2,BaFe3(Si2Al2)O10(OH)2,Fkns,
Ferrolaueite,Fe2+Fe3+2(PO4)2(OH)2·8H2O,FeFe2(PO4)2(OH)2·8H2O,Flae,Fe3(PO4)2(OH)2·8H2O
Ferromerrillite,Ca9NaFe2+(PO4)7,Ca9NaFe(PO4)7,Fmer,
Ferronickelplatinum,Pt2FeNi,Pt2FeNi,Fnpt,
Ferronigerite-2N1S,"(Al,Fe,Zn)2(Al,Sn)6O11(OH)","(Al,Fe,Zn)2(Al,Sn)6O11(OH)",Fng-2N1S,
Ferronigerite-6N6S,"(Al,Fe,Zn)3(Al,Sn,Fe)8O15(OH)","(Al,Fe,Zn)3(Al,Sn,Fe)8O15(OH)",Fng-6N6S,
Ferronordite-(Ce),Na3SrCeFe2+Si6O17,Na3SrCeFeSi6O17,Fnor-Ce,
Ferronordite-(La),Na3SrLaFe2+Si6O17,Na3SrLaFeSi6O17,Fnor-La,
Ferro-papikeite,NaFe2+2(Fe2+3Al2)(Si5Al3)O22(OH)2,NaFe2(Fe3Al2)(Si5Al3)O22(OH)2,Fpa,
Ferro-pargasite,NaCa2(Fe2+4Al)(Si6Al2)O22(OH)2,NaCa2(Fe4Al)(Si6Al2)O22(OH)2,Fprg,
Ferro-pedrizite,NaLi2(Fe2+2Al2Li)Si8O22(OH)2,NaLi2(Fe2Al2Li)Si8O22(OH)2,Fopd,
Ferroqingheiite,Na2Fe2+MgAl(PO4)3,Na2FeMgAl(PO4)3,Qin-Fe2+,
Ferrorhodonite,CaMn3Fe(Si5O15),CaMn3Fe(Si5O15),Frdn,
Ferro-richterite,Na(NaCa)Fe2+5Si8O22(OH)2,Na(NaCa)Fe5Si8O22(OH)2,Frct,
Ferrorockbridgeite,"(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O)","(Fe,Mn)2Fe3(PO4)3(OH)4(H2O)",Forck,
Ferrorosemaryite,[box]NaFe2+(Fe3+Al)(PO4)3," NaFe(FeAl)(PO4)3",Frmy,
