Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Achalaite,Fe2+TiNb2O8,FeTiNb2O8,Ahl,
Andymcdonaldite,Fe2TeO6,Fe2TeO6,Amc,
Angarfite,NaFe3+5(PO4)4(OH)4·4H2O,NaFe5(PO4)4(OH)4·4H2O,Agf,
Angelellite,Fe3+4O3(AsO4)2,Fe4O3(AsO4)2,Agl,
Ankerite,"Ca(Fe2+,Mg)(CO3)2","Ca(Fe,Mg)(CO3)2",Ank,
Annite,KFe2+3(AlSi3O10)(OH)2,KFe3(AlSi3O10)(OH)2,Ann,
Anzaite-(Ce),Ce4Fe2+Ti6O18(OH)2,Ce4FeTi6O18(OH)2,Anz-Ce,
Apuanite,(Fe2+Fe3+2)(Fe3+2Sb3+4)O12S,(FeFe2)(Fe2Sb4)O12S,Apu,Fe5Sb4O12S
Arakiite,ZnMn2+12Fe3+2(As3+O3)(As5+O4)2(OH)23,ZnMn12Fe2(AsO3)(AsO4)2(OH)23,Ark,
Arfvedsonite,NaNa2(Fe2+4Fe3+)Si8O22(OH)2,NaNa2(Fe4Fe)Si8O22(OH)2,Arf,
Argentojarosite,AgFe3+3(SO4)2(OH)6,AgFe3(SO4)2(OH)6,Agjrs,
Argentopentlandite,"Ag(Fe,Ni)8S8","Ag(Fe,Ni)8S8",Apn,
Argentopyrite,AgFe2S3,AgFe2S3,Agpy,
Argentotetrahedrite-(Fe),Ag6(Cu4Fe2)Sb4S13,Ag6(Cu4Fe2)Sb4S13,Attr-Fe,
Armalcolite,"(Mg,Fe2+)Ti2O5","(Mg,Fe)Ti2O5",Arm,
Arrojadite-(BaNa),BaNa3(NaCa)Fe2+13Al(PO4)11(PO3OH)(OH)2,BaNa3(NaCa)Fe13Al(PO4)11(PO3OH)(OH)2,Ajd-BaNa,
Arrojadite-(KFe),(KNa)Fe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2,(KNa)Fe(CaNa2)Fe13Al(PO4)11(PO3OH)(OH)2,Ajd-KFe,
Arrojadite-(KNa),KNa3(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2,KNa3(CaNa2)Fe13Al(PO4)11(PO3OH)(OH)2,Ajd-KNa,
Arrojadite-(PbFe),PbFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2,PbFe(CaNa2)Fe13Al(PO4)11(PO3OH)(OH)2,Ajd-PbFe,
